ProductID,Source,SourceCity,Airline,Dcity,Acity,Dport,Aport,Days,Class,Subclass,SaleEffectDate,SaleExpiryDate,RouteEffectDate,RouteExpiryDate,ProductType,TicketType,InventoryType,TicketInventory,SaledTicketNum,Printprice,Saleprice,Setprice,ReturnPrice,Advreserve,MaxAdvanceDays,ProductTypeName,PolicySource,PolicyStatus,BatchNo,PolicyCode,PayType,PayCardType,IDCardType,PassengerLimitRemarks,ProvideTravelList,ChangeCode,ApplyChild,IsBooking,NeedCreatePNR,NeedChangePNR,NeedProvideInvoice,NeedPata,NeedConfirm,AutoTicketed,AllowPayDirectly,TicketSpeed,MinPassengerNum,MinPassengerAge,MaxPassengerAge,NeedProvideFrequentFlyerScore,ApplyFlag,OfficeNo,PolicyRemarks,SubClassNote,WorkTimeLimitID,DepartTimeLimitRemark,RcID,SupplierPolicyID,RuleCanSale,RuleDetail,IsSecurity,SecuritySuppliers,DataChange_CreateTime,DataChange_LastTime,VipCode,MaxPassengerNum,PassengerAgeLimitRemarks,IsCompositionPrice,CompositionPriceRemark,VouchersType,PataVerifyPriceOption,DateCanSale,PataPriceValue,SaleTimeLimitRemark,PataCode,DownFloatOption,DownFloatValue
2684195302,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,6,12,7,3,0,NULL,6,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"0000-2359,0000-2359,0000-2359",8865,0,0,,0,NULL,2014-10-27 10:41:02.303,2014-10-27 10:41:02.563,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684195303,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,6,12,7,3,0,NULL,2,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"0000-2359,0000-2359,0000-2359",8865,0,0,,0,NULL,2014-10-27 10:41:02.303,2014-10-27 10:41:02.563,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684195304,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,6,12,7,3,0,NULL,3,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"0000-2359,0000-2359,0000-2359",8865,0,0,,0,NULL,2014-10-27 10:41:02.303,2014-10-27 10:41:02.563,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684195305,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,13,19,7,3,0,NULL,5,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"0000-2359,0000-2359,0000-2359",8865,0,0,,0,NULL,2014-10-27 10:41:02.303,2014-10-27 10:41:02.563,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197277,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,34,58,7,3,0,NULL,15,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197278,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,59,88,7,3,0,NULL,14,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197279,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,59,88,7,3,0,NULL,16,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197280,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,20,26,7,3,0,NULL,18,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197281,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,34,58,7,3,0,NULL,17,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197282,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,89,365,7,3,0,NULL,13,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197283,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,89,365,7,3,0,NULL,9,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197284,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,6,12,7,3,0,NULL,8,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197285,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,59,88,7,3,0,NULL,10,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197286,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,89,365,7,3,0,NULL,12,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197287,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,34,58,7,3,0,NULL,11,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197288,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,27,33,7,3,0,NULL,26,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197289,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,27,33,7,3,0,NULL,25,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197290,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,20,26,7,3,0,NULL,27,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197291,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,6,12,7,3,0,NULL,2,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197292,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,27,33,7,3,0,NULL,28,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197293,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,20,26,7,3,0,NULL,24,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197294,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,27,33,7,3,0,NULL,20,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197295,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,89,365,7,3,0,NULL,19,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197296,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,34,58,7,3,0,NULL,21,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197297,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,20,26,7,3,0,NULL,23,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197298,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,59,88,7,3,0,NULL,22,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197299,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,13,19,7,3,0,NULL,7,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197300,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,13,19,7,3,0,NULL,5,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197301,675,2,FM,BAV,SHA,BAV,SHA,35,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,6,12,7,3,0,NULL,6,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,0831-1959,6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
2684197302,675,2,FM,BAV,SHA,BAV,SHA,92,Y,Z,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2014-06-13 00:00:00.000,2014-12-31 00:00:00.000,2,1,1,0,0,0,0,20050,-1200,6,12,7,3,0,NULL,3,NULL,NULL,NULL,0,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,0,0,SHA317,,不得退改签,0,"2000-2359,0000-0830",6060,0,0,,0,NULL,2014-10-27 10:41:10.790,2014-10-27 10:41:11.027,NULL,0,NULL,0,NULL,0,NULL,NULL,NULL,NULL,NULL,1,0
